-0.220000:	6.271543	14.438129	877.231323	0.209708
-0.215400:	6.271443	14.433582	869.147217	0.210577
-0.210800:	6.270949	14.410248	861.681519	0.211837
-0.206200:	6.270552	14.417134	848.850830	0.213331
-0.201600:	6.270147	14.401595	841.607300	0.213860
-0.197000:	6.269971	14.405751	830.296448	0.215410
-0.192400:	6.269574	14.388600	818.473877	0.216847
-0.187800:	6.269214	14.382126	808.609863	0.218273
-0.183200:	6.268791	14.355039	793.205078	0.220456
-0.178600:	6.268398	14.314613	777.524048	0.222310
-0.174000:	6.267703	14.229418	765.773132	0.224295
-0.169400:	6.267223	14.175402	754.118225	0.225952
-0.164800:	6.266602	14.176241	739.452454	0.227851
-0.160200:	6.265878	14.121818	723.012268	0.230505
-0.155600:	6.264832	14.070051	709.550781	0.232426
-0.151000:	6.263790	13.989661	697.785522	0.234536
-0.146400:	6.261968	13.923212	683.053223	0.236752
-0.141800:	6.259707	13.860704	671.858337	0.238723
-0.137200:	6.257680	13.820541	659.786316	0.240877
-0.132600:	6.255582	13.732072	648.241333	0.242915
-0.128000:	6.253469	13.698486	635.677734	0.245012
-0.123400:	6.250839	13.626238	617.577332	0.248457
-0.118800:	6.247761	13.595303	598.658752	0.252142
-0.114200:	6.245058	13.544862	584.498962	0.254974
-0.109600:	6.241512	13.495424	569.864014	0.257996
-0.105000:	6.237434	13.416045	547.207153	0.263007
-0.100400:	6.232497	13.360385	531.367249	0.266483
-0.095800:	6.227561	13.225250	508.259583	0.272263
-0.091200:	6.220655	13.093006	488.607086	0.277237
-0.086600:	6.214827	12.960650	470.476288	0.282093
-0.082000:	6.206146	12.875497	452.342590	0.287004
-0.077400:	6.198130	12.750290	437.196594	0.291504
-0.072800:	6.189638	12.626564	418.104004	0.297514
-0.068200:	6.179600	12.493971	398.971741	0.303830
-0.063600:	6.168798	12.336226	389.753967	0.306922
-0.059000:	6.155812	12.230129	372.011780	0.313192
-0.054400:	6.142438	11.991771	355.906494	0.319301
-0.049800:	6.127005	11.833982	344.382599	0.323716
-0.045200:	6.105718	11.629444	327.471649	0.330592
-0.040600:	6.093133	11.430168	312.675385	0.337344
-0.036000:	6.080805	11.219921	293.394928	0.347289
-0.031400:	6.060554	11.024678	274.820618	0.357201
-0.026800:	6.035218	10.805067	258.439362	0.366454
-0.022200:	6.003851	10.620471	248.757950	0.371388
-0.017600:	5.974671	10.397600	246.694794	0.371182
-0.013000:	5.943640	10.190282	237.299149	0.376346
-0.008400:	5.911501	9.958850	224.811951	0.384198
-0.003800:	5.876425	9.754260	211.112198	0.393658
0.000800:	5.836650	9.554753	200.570267	0.400826
0.005400:	5.805821	9.306959	183.224716	0.416359
0.010000:	5.767968	9.053415	168.689285	0.430352
0.014600:	5.721592	8.826028	164.803314	0.431861
0.019200:	5.670968	8.565214	152.722336	0.443978
0.023800:	5.617293	8.331976	142.332092	0.454831
0.028400:	5.559803	8.036379	133.331039	0.464579
0.033000:	5.500082	7.795204	129.577316	0.466196
0.037600:	5.440241	7.510177	122.906601	0.473133
0.042200:	5.377203	7.242849	113.818611	0.485163
0.046800:	5.309832	7.027796	104.978569	0.497837
0.051400:	5.239037	6.682173	94.821312	0.515639
0.056000:	5.163323	6.469119	89.413757	0.522668
0.060600:	5.085376	6.211449	81.553619	0.537717
0.065200:	5.004030	5.969148	73.283165	0.556338
0.069800:	4.920091	5.663648	69.269089	0.562325
0.074400:	4.831212	5.404241	65.177544	0.568676
0.079000:	4.737787	5.265346	60.445679	0.577635
0.083600:	4.641543	5.025372	54.159626	0.595695
0.088200:	4.543220	4.761479	51.881836	0.595850
0.092800:	4.445704	4.484341	49.065388	0.599393
0.097400:	4.339615	4.227753	44.487560	0.612853
0.102000:	4.228807	4.010130	38.150188	0.640823
0.106600:	4.110549	3.844461	34.115925	0.655637
0.111200:	3.997885	3.616033	31.393421	0.663388
0.115800:	3.879432	3.419750	30.635471	0.652720
0.120400:	3.755835	3.167159	26.567188	0.674987
0.125000:	3.634198	2.968943	23.108665	0.696027
0.129600:	3.508577	2.750044	21.277367	0.699340
0.134200:	3.381619	2.570666	17.077288	0.742449
0.138800:	3.252930	2.343570	15.895928	0.740564
0.143400:	3.124178	2.146499	14.133397	0.751329
0.148000:	2.989582	1.975124	11.286324	0.792683
0.152600:	2.859086	1.813059	9.895571	0.804602
0.157200:	2.726664	1.646708	9.687484	0.780315
0.161800:	2.593305	1.548988	9.257970	0.760105
0.166400:	2.462974	1.385677	8.348360	0.759224
0.171000:	2.329329	1.263059	7.753704	0.745475
0.175600:	2.198465	1.154358	4.971972	0.841749   V
0.180200:	2.071267	1.030289	4.596104	0.826496
0.184800:	1.948367	0.902621	5.223601	0.750173
0.189400:	1.822159	0.834156	3.459606	0.826122
0.194000:	1.697420	0.750630	3.509640	0.775233
0.198600:	1.579475	0.649630	2.618496	0.814586
0.203200:	1.464498	0.601022	2.374327	0.790682
0.207800:	1.354144	0.536348	2.377939	0.741323
0.212400:	1.248980	0.468419	2.041776	0.733651
0.217000:	1.144457	0.419699	1.905248	0.698993
0.221600:	1.046737	0.381145	1.791198	0.662258
0.226200:	0.950962	0.331098	1.439401	0.661838
0.230800:	0.864118	0.271179	1.378946	0.623990
0.235400:	0.779351	0.226936	1.287502	0.588115
