-0.240000:	14.300933	78.410919	19347.333984	0.112009
-0.233800:	14.299018	78.300468	19017.921875	0.096939
-0.227600:	14.298117	78.170448	18625.583984	0.111040
-0.221400:	14.295939	77.951843	18250.351562	0.104515
-0.215200:	14.292225	77.662270	17834.164062	0.097418
-0.209000:	14.285751	77.316879	17436.421875	0.098006
-0.202800:	14.281509	76.885910	17045.304688	0.111277
-0.196600:	14.276245	76.661324	16625.679688	0.108226
-0.190400:	14.271830	76.429573	16197.166016	0.116103
-0.184200:	14.265993	76.179192	15799.340820	0.110908
-0.178000:	14.259382	76.080322	15373.375977	0.107542
-0.171800:	14.251290	75.597748	14952.303711	0.114650
-0.165600:	14.258480	75.151047	14543.274414	0.117060
-0.159400:	14.249433	74.938705	14118.290039	0.122018
-0.153200:	14.237877	74.379745	13694.130859	0.126952
-0.147000:	14.225587	74.088699	13229.525391	0.123841
-0.140800:	14.193976	73.164322	12782.858398	0.129634
-0.134600:	14.177610	72.147827	12300.555664	0.123644
-0.128400:	14.159785	71.580956	11833.150391	0.133845
-0.122200:	14.139037	70.403656	11377.029297	0.132127
-0.116000:	14.116289	69.708824	10909.130859	0.136234
-0.109800:	14.091890	68.304710	10474.456055	0.141179
-0.103600:	14.063308	67.386086	10044.654297	0.135916
-0.097400:	14.031166	66.628464	9621.283203	0.139555
-0.091200:	13.994853	65.727547	9204.878906	0.142293
-0.085000:	13.958010	64.212624	8767.903320	0.147753
-0.078800:	13.914510	62.802055	8378.365234	0.152258
-0.072600:	13.866594	61.816738	7939.052246	0.157433
-0.066400:	13.816460	61.059353	7536.012695	0.158521
-0.060200:	13.759399	60.000057	7144.680664	0.159661
-0.054000:	13.701003	58.550159	6750.486816	0.164102
-0.047800:	13.636646	57.444756	6372.452637	0.171278
-0.041600:	13.565382	56.516502	6043.058105	0.172937
-0.035400:	13.491814	55.563046	5707.822754	0.176347
-0.029200:	13.410251	54.701584	5370.333984	0.182126
-0.023000:	13.325777	53.660736	5051.792969	0.185895
-0.016800:	13.231219	52.821590	4734.444336	0.191925
-0.010600:	13.128316	52.369274	4431.914551	0.196699
-0.004400:	13.019686	51.152061	4128.756348	0.201144
0.001800:	12.908532	49.390186	3850.565918	0.207488
0.008000:	12.772106	47.609295	3586.488037	0.211896
0.014200:	12.659083	45.450569	3341.192383	0.217117
0.020400:	12.528330	43.612686	3101.720459	0.223118
0.026600:	12.386844	41.583195	2864.458740	0.229650
0.032800:	12.227584	39.707298	2630.243896	0.236008
0.039000:	12.074775	37.952660	2423.028320	0.243674
0.045200:	11.901944	36.072521	2217.941650	0.250856
0.051400:	11.717633	34.473846	2027.917480	0.258238
0.057600:	11.539479	32.853916	1870.468750	0.264649
0.063800:	11.350261	31.283825	1701.969482	0.272296
0.070000:	11.152665	29.451555	1552.406494	0.280293
0.076200:	10.941591	28.016178	1410.541992	0.287957
0.082400:	10.723173	26.682346	1289.466187	0.295046
0.088600:	10.505526	25.100374	1167.616699	0.303570
0.094800:	10.275508	23.670767	1059.231934	0.311641
0.101000:	10.032636	22.052395	956.838867	0.320239
0.107200:	9.781247	20.654572	865.509033	0.327875
0.113400:	9.528065	19.197416	783.510864	0.335661
0.119600:	9.273898	17.990053	710.326538	0.342928
0.125800:	9.003769	16.654842	635.808655	0.351714
0.132000:	8.736418	15.510230	561.074951	0.362886
0.138200:	8.454564	14.399231	502.964294	0.370773
0.144400:	8.178250	13.392905	452.495819	0.377746
0.150600:	7.889338	12.262272	412.902527	0.381492
0.156800:	7.604550	11.460435	366.433624	0.389876
0.163000:	7.324649	10.590188	323.393280	0.399344
0.169200:	7.027547	9.917235	279.748352	0.411245
0.175400:	6.731545	9.158344	240.721924	0.423924
0.181600:	6.439211	8.379657	215.689545	0.428107
0.187800:	6.153660	7.715557	190.092545	0.435282
0.194000:	5.868804	6.988467	165.811264	0.443981
0.200200:	5.583796	6.439429	141.088455	0.456857
0.206400:	5.306952	5.865953	121.633102	0.466791
0.212600:	5.027812	5.371212	106.970230	0.470888
0.218800:	4.750348	4.976658	92.681755	0.476883
0.225000:	4.483755	4.512402	79.793541	0.484084
0.231200:	4.211841	4.160239	66.059204	0.497718
0.237400:	3.947852	3.801228	57.950974	0.497163
0.243600:	3.696658	3.400993	47.796928	0.510597
0.249800:	3.444670	3.049319	42.017006	0.506787
0.256000:	3.206333	2.696582	35.800591	0.509830
0.262200:	2.969828	2.428125	31.083178	0.505707
0.268400:	2.745260	2.095097	25.686386	0.512598
0.274600:	2.525868	1.852087	21.193159	0.516964
0.280800:	2.319993	1.563230	17.840090	0.516677
0.287000:	2.131886	1.409311	14.637959	0.521011
0.293200:	1.934660	1.238359	12.712315	0.506643
0.299400:	1.759767	1.138250	9.991472	0.514431
0.305600:	1.591209	0.957966	8.220632	0.511044
0.311800:	1.433885	0.842660	6.496714	0.513314
0.318000:	1.283398	0.768777	4.147429	0.556039   V
0.324200:	1.141386	0.627883	3.542166	0.535971
0.330400:	1.010088	0.537925	2.826928	0.526065
0.336600:	0.892799	0.432198	2.420298	0.504118
0.342800:	0.786271	0.348229	1.920508	0.495527
0.349000:	0.681265	0.298793	1.481611	0.482315
0.355200:	0.590584	0.261181	1.218431	0.457644
0.361400:	0.507251	0.206477	0.942629	0.443562
